interaction_id,customer_id,interaction_date,channel,reason,resolution_hours,satisfaction_score
IN00001173,CU00004680,2025-09-29,App,Digital help,21.6,5
IN00001174,CU00000841,2025-02-28,Call Centre,Service request,18.67,2
IN00001175,CU00002426,2025-09-28,Branch,Loan enquiry,17.68,4
IN00001176,CU00002629,2025-06-03,Email,Loan enquiry,2.86,5
IN00001177,CU00004533,2024-12-03,Branch,Digital help,9.65,4
IN00001178,CU00003521,2026-01-01,Email,Digital help,9.16,5
IN00001179,CU00001551,2025-04-13,Call Centre,Digital help,31.51,4
IN00001180,CU00004820,2026-02-01,Chat,Complaint,13.62,4
IN00001181,CU00002336,2025-01-31,App,Loan enquiry,13.49,4
IN00001182,CU00002939,2025-11-16,Chat,Complaint,11.23,5
IN00001183,CU00001597,2025-04-18,Call Centre,Loan enquiry,11.29,4
IN00001184,CU00002898,2026-02-25,Call Centre,Complaint,11.59,3
IN00001185,CU00001190,2025-07-17,Chat,KYC,19.06,3
IN00001186,CU00001027,2024-12-16,Chat,Complaint,16.31,5
IN00001187,CU00001763,2026-08-12,Call Centre,Digital help,14.04,2
IN00001188,CU00003927,2025-09-15,Call Centre,KYC,5.25,4
IN00001189,CU00002516,2025-10-27,Chat,Service request,9.29,4
IN00001190,CU00001516,2026-03-07,Branch,Service request,10.54,5
IN00001191,CU00004466,2025-06-17,Chat,Complaint,11.57,3
IN00001192,CU00002458,2026-05-17,App,KYC,24.28,3
IN00001193,CU00002281,2026-07-07,Chat,Digital help,7.53,2
IN00001194,CU00000694,2026-01-03,Chat,Loan enquiry,9.66,4
IN00001195,CU00004738,2025-07-12,App,Digital help,9.7,2
IN00001196,CU00000359,2026-03-26,App,Digital help,21.68,4
IN00001197,CU00003742,2026-01-18,Call Centre,Loan enquiry,6.09,5
IN00001198,CU00002190,2026-02-02,App,KYC,15.96,5
IN00001199,CU00002115,2025-08-15,Branch,Complaint,10.62,4
IN00001200,CU00004290,2026-06-22,Branch,KYC,7.86,5
IN00001201,CU00000545,2026-07-13,Call Centre,Digital help,5.93,4
IN00001202,CU00004957,2024-10-21,Branch,Digital help,10.9,4
IN00001203,CU00003421,2024-11-08,Call Centre,Digital help,9.42,2
IN00001204,CU00003133,2025-05-05,App,Loan enquiry,12.98,4
IN00001205,CU00003136,2025-04-04,Email,Service request,13.41,3
IN00001206,CU00000183,2026-08-03,Chat,Digital help,14.39,4
IN00001207,CU00004363,2025-07-20,App,Loan enquiry,25.72,2
IN00001208,CU00000417,2024-10-18,Call Centre,Service request,10.87,1
IN00001209,CU00001033,2024-09-27,Branch,Loan enquiry,5.06,4
IN00001210,CU00004047,2026-07-17,Call Centre,Complaint,20.51,4
IN00001211,CU00003873,2026-03-29,App,Card issue,37.37,3
IN00001212,CU00000453,2026-06-11,App,Complaint,21.86,4
IN00001213,CU00001206,2025-01-12,Chat,Complaint,20.42,4
IN00001214,CU00004307,2025-08-19,App,KYC,12.98,4
IN00001215,CU00004589,2025-06-13,Branch,KYC,10.83,5
IN00001216,CU00004776,2025-05-03,Email,Card issue,11.57,3
IN00001217,CU00001170,2024-10-25,Call Centre,Loan enquiry,11.55,5
IN00001218,CU00002045,2026-07-07,Branch,Loan enquiry,29.93,5
IN00001219,CU00003991,2025-06-19,Call Centre,Complaint,11.35,1
IN00001220,CU00004744,2026-04-02,Call Centre,Digital help,18.2,5
IN00001221,CU00003517,2025-01-26,Email,Card issue,23.7,5
IN00001222,CU00004956,2026-04-21,Chat,Card issue,21.88,3
IN00001223,CU00000875,2025-10-04,App,Complaint,24.23,5
IN00001224,CU00003937,2026-08-22,App,Loan enquiry,23.8,2
IN00001225,CU00000519,2026-04-06,App,Complaint,33.28,2
IN00001226,CU00004564,2025-06-26,App,KYC,9.71,3
IN00001227,CU00001895,2025-08-14,Branch,Service request,13.33,4
IN00001228,CU00000044,2026-08-08,Call Centre,KYC,12.48,3
IN00001229,CU00004702,2026-05-23,Branch,Digital help,16.91,4
IN00001230,CU00002867,2026-01-01,Email,Service request,6.89,3
IN00001231,CU00001561,2024-10-08,Email,KYC,15.64,1
IN00001232,CU00001103,2024-11-27,Chat,Complaint,10.9,2
IN00001233,CU00002480,2026-07-24,Branch,Service request,14.78,3
IN00001234,CU00003813,2026-04-09,Email,Card issue,47.29,5
IN00001235,CU00000066,2025-04-22,App,Digital help,7.95,3
IN00001236,CU00002932,2025-11-25,Call Centre,Digital help,11.89,4
IN00001237,CU00003297,2025-07-14,Call Centre,Digital help,17.4,4
IN00001238,CU00004729,2026-05-22,Email,Loan enquiry,31.73,4
IN00001239,CU00000726,2026-07-27,Email,KYC,33.93,4
IN00001240,CU00000656,2024-11-01,Branch,KYC,4.74,3
IN00001241,CU00002021,2025-01-30,Chat,Service request,15.3,3
IN00001242,CU00001282,2025-01-21,App,Complaint,4.41,1
IN00001243,CU00003909,2024-09-01,Email,Complaint,15.67,3
IN00001244,CU00003678,2025-02-27,Chat,Service request,28.39,5
IN00001245,CU00003964,2024-10-22,Chat,Complaint,6.9,3
IN00001246,CU00004420,2025-07-22,Call Centre,Card issue,19.42,5
IN00001247,CU00003594,2026-04-17,Email,Card issue,6.23,1
IN00001248,CU00004346,2026-03-01,Call Centre,Card issue,30.76,4
IN00001249,CU00004864,2026-02-08,Call Centre,KYC,8.15,5
IN00001250,CU00001629,2026-05-25,Branch,KYC,25.54,4
IN00001251,CU00002565,2025-04-16,Call Centre,Digital help,3.78,1
IN00001252,CU00004472,2025-08-22,Chat,Service request,13.71,3
IN00001253,CU00003428,2024-09-11,Call Centre,Loan enquiry,5.01,5
IN00001254,CU00001078,2025-07-25,Call Centre,KYC,21.41,5
IN00001255,CU00003345,2025-12-03,App,Service request,12.42,4
IN00001256,CU00003097,2025-07-31,Branch,Digital help,14.42,3
IN00001257,CU00001814,2024-12-12,App,KYC,0.83,3
IN00001258,CU00000490,2024-10-12,App,Card issue,8.41,4
IN00001259,CU00001551,2024-11-29,Chat,Card issue,17.0,4
IN00001260,CU00002859,2024-12-31,Email,Service request,4.75,5
IN00001261,CU00004462,2026-06-11,Chat,Service request,11.88,4
IN00001262,CU00003745,2025-02-19,Chat,Card issue,9.01,3
IN00001263,CU00003270,2026-01-25,Branch,Complaint,10.1,5
IN00001264,CU00000936,2024-10-16,Email,Loan enquiry,18.74,5
IN00001265,CU00003574,2024-12-16,Call Centre,Loan enquiry,11.96,4
IN00001266,CU00002091,2026-01-17,Email,Service request,26.28,4
IN00001267,CU00002804,2026-04-08,Call Centre,Loan enquiry,15.45,5
IN00001268,CU00003858,2025-11-28,App,Service request,15.26,5
IN00001269,CU00001166,2026-04-10,Chat,KYC,4.03,4
IN00001270,CU00004068,2026-05-17,Branch,Loan enquiry,10.87,5
IN00001271,CU00000540,2024-12-17,Branch,Card issue,0.81,3
IN00001272,CU00002623,2024-09-20,Branch,KYC,18.43,4
IN00001273,CU00000281,2026-01-01,Chat,Digital help,18.59,4
IN00001274,CU00001478,2025-03-24,Chat,Loan enquiry,15.64,3
IN00001275,CU00000558,2024-10-31,App,Complaint,8.37,4
IN00001276,CU00004980,2025-11-03,Call Centre,Card issue,4.25,3
IN00001277,CU00000139,2025-05-28,Branch,KYC,33.08,4
IN00001278,CU00000892,2025-06-11,Branch,Loan enquiry,14.12,4
IN00001279,CU00001964,2026-01-06,App,Service request,18.5,5
IN00001280,CU00004323,2024-11-17,Email,Complaint,8.9,4
IN00001281,CU00001594,2026-04-22,Chat,Digital help,13.1,5
IN00001282,CU00000304,2024-09-23,Chat,Loan enquiry,26.29,5
IN00001283,CU00001740,2025-09-10,Call Centre,KYC,19.44,4
IN00001284,CU00002797,2025-12-31,App,Card issue,9.59,5
IN00001285,CU00000150,2025-12-29,App,Service request,16.25,5
IN00001286,CU00004919,2025-04-07,Call Centre,Complaint,3.49,4
IN00001287,CU00001341,2024-11-12,Branch,KYC,9.0,4
IN00001288,CU00002000,2024-11-10,Chat,Service request,24.89,4
IN00001289,CU00002832,2025-12-16,Call Centre,Loan enquiry,2.9,1
IN00001290,CU00000280,2024-09-07,Email,Digital help,24.38,4
IN00001291,CU00002699,2025-05-23,Email,Loan enquiry,13.29,4
IN00001292,CU00000253,2026-08-17,App,KYC,18.22,5
IN00001293,CU00001652,2026-07-28,Branch,Digital help,13.36,4
IN00001294,CU00000424,2025-06-03,Call Centre,Loan enquiry,3.5,4
IN00001295,CU00004124,2025-06-27,Call Centre,KYC,12.65,5
IN00001296,CU00002120,2025-03-05,Chat,Complaint,16.87,3
IN00001297,CU00002597,2026-03-05,Branch,Loan enquiry,16.78,4
IN00001298,CU00003340,2024-10-14,App,Digital help,20.18,5
IN00001299,CU00001304,2025-02-15,Chat,KYC,41.95,2
IN00001300,CU00000245,2025-11-13,Email,Card issue,16.35,2
IN00001301,CU00001789,2026-03-03,App,KYC,7.49,4
IN00001302,CU00000592,2024-09-08,App,Complaint,9.95,2
IN00001303,CU00004458,2026-08-15,Call Centre,Digital help,32.82,3
IN00001304,CU00001778,2026-03-31,Branch,Loan enquiry,14.3,5
IN00001305,CU00001493,2026-03-07,Email,Service request,11.99,2
IN00001306,CU00004034,2026-04-16,Chat,Loan enquiry,2.43,4
IN00001307,CU00001990,2024-11-01,Branch,Loan enquiry,25.43,3
IN00001308,CU00000983,2026-01-07,Email,Digital help,20.01,4
IN00001309,CU00003393,2025-09-19,App,KYC,13.08,3
IN00001310,CU00003306,2025-09-19,App,Digital help,3.74,3
IN00001311,CU00000835,2026-07-26,Branch,Complaint,43.77,4
IN00001312,CU00002358,2026-02-27,Chat,Digital help,15.34,5
IN00001313,CU00002292,2024-10-05,App,Digital help,2.53,5
IN00001314,CU00002841,2025-07-31,Branch,Card issue,16.33,4
IN00001315,CU00000965,2026-08-21,Email,Service request,17.82,3
IN00001316,CU00003936,2026-02-06,Chat,Service request,2.43,5
IN00001317,CU00003516,2024-09-17,Email,KYC,9.01,5
IN00001318,CU00001437,2026-01-10,App,Digital help,20.03,4
IN00001319,CU00000694,2025-12-04,Branch,Loan enquiry,1.53,1
IN00001320,CU00002075,2025-10-09,Branch,Loan enquiry,18.82,5
IN00001321,CU00001469,2026-08-24,Email,Card issue,39.6,4
IN00001322,CU00003366,2025-08-09,App,Card issue,6.87,3
IN00001323,CU00002640,2024-10-21,Call Centre,Digital help,30.99,3
IN00001324,CU00002251,2025-05-04,App,KYC,21.82,2
IN00001325,CU00003576,2026-03-28,Branch,Loan enquiry,30.73,3
IN00001326,CU00000731,2026-07-03,Chat,KYC,25.23,3
IN00001327,CU00001355,2026-01-19,Call Centre,Complaint,20.33,4
IN00001328,CU00003271,2025-09-24,Email,KYC,3.68,5
IN00001329,CU00001728,2025-04-14,Chat,Service request,18.07,5
IN00001330,CU00001369,2026-03-24,App,Digital help,5.11,3
IN00001331,CU00001342,2026-05-24,Call Centre,Complaint,24.5,4
IN00001332,CU00002945,2024-12-19,Chat,Service request,1.66,4
IN00001333,CU00001335,2025-07-02,App,Loan enquiry,24.92,3
IN00001334,CU00000329,2026-07-06,Chat,Service request,60.97,5
IN00001335,CU00000988,2026-07-14,Chat,Card issue,6.41,2
IN00001336,CU00001992,2024-09-12,Email,Card issue,9.89,4
IN00001337,CU00001900,2025-03-19,App,Digital help,19.46,3
IN00001338,CU00001719,2025-01-06,Email,Digital help,7.7,4
IN00001339,CU00003126,2025-10-11,Email,KYC,12.86,5
IN00001340,CU00004145,2026-08-03,Branch,Service request,13.64,4
IN00001341,CU00000768,2025-10-29,Call Centre,Digital help,16.77,3
IN00001342,CU00002313,2025-03-07,Email,Complaint,8.69,5
IN00001343,CU00000309,2026-03-01,Call Centre,Loan enquiry,18.78,2
IN00001344,CU00000016,2025-07-12,Email,Complaint,6.61,2
IN00001345,CU00004090,2026-01-10,Branch,Digital help,31.51,5
IN00001346,CU00001516,2026-05-24,Branch,Card issue,23.9,4
IN00001347,CU00003078,2026-07-22,Chat,Digital help,19.56,4
IN00001348,CU00001728,2025-10-30,Branch,KYC,7.38,4
IN00001349,CU00004722,2026-04-09,Email,Digital help,1.07,1
IN00001350,CU00002072,2026-06-10,App,KYC,7.98,2
IN00001351,CU00000235,2026-02-17,Call Centre,Service request,32.09,5
IN00001352,CU00003281,2024-11-18,Chat,Complaint,29.43,4
IN00001353,CU00000015,2025-07-22,Email,Complaint,6.81,4
IN00001354,CU00003218,2026-03-09,Chat,KYC,12.08,3
IN00001355,CU00004098,2025-07-21,Chat,KYC,4.93,5
IN00001356,CU00000406,2026-05-03,Chat,Loan enquiry,12.69,4
IN00001357,CU00000737,2025-06-19,Chat,KYC,22.36,2
IN00001358,CU00002492,2026-06-15,Branch,Card issue,26.11,1
IN00001359,CU00000706,2026-06-25,Email,Card issue,17.43,5
IN00001360,CU00002397,2024-12-13,App,Service request,18.06,5
IN00001361,CU00001197,2026-04-04,Branch,Complaint,49.07,5
IN00001362,CU00003842,2026-03-29,Email,Complaint,27.02,1
IN00001363,CU00001880,2025-11-24,Chat,Loan enquiry,32.34,5
IN00001364,CU00000110,2025-01-16,Call Centre,Card issue,25.18,4
IN00001365,CU00004068,2024-09-17,Branch,KYC,8.33,3
IN00001366,CU00001332,2024-10-09,Branch,Digital help,4.03,5
IN00001367,CU00002615,2026-07-19,Email,Card issue,10.12,5
IN00001368,CU00004975,2026-01-27,Email,Complaint,45.6,5
IN00001369,CU00001100,2026-03-19,Branch,Service request,16.53,5
IN00001370,CU00000387,2025-07-15,App,Digital help,22.39,5
IN00001371,CU00002171,2025-06-23,Email,Service request,2.3,3
IN00001372,CU00003815,2024-11-28,Email,Digital help,14.5,3
IN00001373,CU00001584,2025-06-16,App,Complaint,18.34,5
IN00001374,CU00004371,2025-11-22,Branch,Loan enquiry,17.36,3
IN00001375,CU00002433,2026-07-06,Chat,Complaint,2.91,5
IN00001376,CU00004269,2025-10-13,Branch,Service request,39.48,1
IN00001377,CU00001441,2025-08-10,Chat,Loan enquiry,9.43,4
IN00001378,CU00001566,2026-03-04,Branch,Card issue,7.09,5
IN00001379,CU00001207,2024-09-06,Email,Card issue,19.13,4
IN00001380,CU00000237,2026-02-19,Email,Loan enquiry,10.38,3
IN00001381,CU00004166,2026-01-06,Branch,Digital help,4.91,4
IN00001382,CU00001695,2025-05-17,Branch,KYC,26.55,5
IN00001383,CU00004403,2025-01-14,Branch,Loan enquiry,9.2,2
IN00001384,CU00000346,2025-05-03,App,Loan enquiry,6.63,4
IN00001385,CU00000778,2025-03-24,Email,KYC,22.25,3
IN00001386,CU00000805,2025-03-01,Email,Card issue,5.17,3
IN00001387,CU00001195,2026-01-27,Call Centre,Loan enquiry,12.56,5
IN00001388,CU00001871,2024-09-08,Email,Complaint,25.57,5
IN00001389,CU00000184,2026-03-23,Email,Service request,3.35,3
IN00001390,CU00004138,2026-05-02,App,Service request,21.17,5
IN00001391,CU00000668,2025-06-15,Call Centre,Loan enquiry,20.31,5
IN00001392,CU00003833,2026-01-23,Email,KYC,16.79,3
IN00001393,CU00001149,2025-04-25,Branch,Card issue,13.95,2
IN00001394,CU00000336,2025-01-15,Branch,Digital help,11.2,2
IN00001395,CU00002308,2026-02-17,App,KYC,35.81,4
IN00001396,CU00000004,2024-09-06,App,Card issue,12.88,4
IN00001397,CU00001957,2025-12-11,App,KYC,40.71,3
IN00001398,CU00001761,2026-05-21,Call Centre,Service request,18.4,1
IN00001399,CU00001889,2025-01-07,Branch,Complaint,47.29,4
IN00001400,CU00003226,2025-05-31,Chat,Card issue,10.94,5
IN00001401,CU00000498,2024-11-06,Branch,Card issue,8.22,4
IN00001402,CU00001398,2025-09-29,App,Complaint,61.5,4
IN00001403,CU00004562,2026-07-17,Email,Service request,30.61,3
IN00001404,CU00001088,2025-08-19,Chat,Complaint,10.07,1
IN00001405,CU00004439,2024-11-12,Chat,Complaint,19.3,1
IN00001406,CU00001637,2025-12-07,Branch,Digital help,18.59,2
IN00001407,CU00001856,2024-10-30,Email,KYC,26.07,3
IN00001408,CU00004102,2026-03-05,App,Card issue,6.71,5
IN00001409,CU00003199,2026-06-28,Branch,KYC,22.73,4
IN00001410,CU00002469,2026-06-06,Chat,Service request,12.95,4
IN00001411,CU00004840,2026-03-06,Call Centre,Complaint,7.97,4
IN00001412,CU00004260,2025-04-04,Email,Card issue,6.42,4
IN00001413,CU00001153,2026-05-22,Chat,Complaint,22.76,5
IN00001414,CU00000304,2024-10-29,Call Centre,Digital help,26.1,5
IN00001415,CU00003246,2025-06-28,App,Service request,10.39,5
IN00001416,CU00002336,2024-10-24,Email,Loan enquiry,15.22,4
IN00001417,CU00002595,2024-09-21,Email,Service request,30.71,4
IN00001418,CU00002676,2026-07-16,Call Centre,Card issue,15.28,5
IN00001419,CU00004070,2026-06-12,App,Digital help,11.57,5
IN00001420,CU00004082,2026-05-23,Branch,Complaint,7.75,4
IN00001421,CU00004012,2025-11-13,Branch,Loan enquiry,14.3,2
IN00001422,CU00001531,2026-03-29,Email,Loan enquiry,12.89,5
IN00001423,CU00000056,2026-03-25,Chat,Service request,6.96,5
IN00001424,CU00004339,2026-08-03,Email,KYC,17.94,4
IN00001425,CU00001966,2025-02-25,App,Service request,21.69,3
IN00001426,CU00004307,2025-08-15,Branch,KYC,18.92,5
IN00001427,CU00002432,2026-01-04,App,Digital help,22.04,3
IN00001428,CU00003484,2025-09-04,Chat,Service request,12.16,4
IN00001429,CU00001362,2025-02-25,Chat,Card issue,37.48,4
IN00001430,CU00002641,2026-07-09,Email,KYC,9.44,1
IN00001431,CU00001883,2025-07-19,Call Centre,Digital help,9.32,2
IN00001432,CU00001904,2026-02-06,Chat,Digital help,5.99,4
IN00001433,CU00003989,2026-01-24,Email,Card issue,10.48,5
IN00001434,CU00002148,2025-08-20,Branch,Service request,22.09,4
IN00001435,CU00001384,2025-03-20,Branch,Complaint,13.82,4
IN00001436,CU00003288,2026-05-24,Branch,Digital help,14.15,2
IN00001437,CU00000466,2026-02-05,Call Centre,Complaint,11.97,4
IN00001438,CU00002083,2024-09-23,Chat,Complaint,26.51,5
IN00001439,CU00004800,2025-04-15,Email,Loan enquiry,13.67,3
IN00001440,CU00000135,2024-12-27,Call Centre,Service request,2.79,4
IN00001441,CU00000022,2026-07-02,Email,KYC,27.36,4
IN00001442,CU00002503,2025-05-29,Branch,Card issue,13.66,3
IN00001443,CU00004552,2025-11-11,Call Centre,Loan enquiry,12.39,5
IN00001444,CU00004655,2025-03-09,Call Centre,Service request,16.14,4
IN00001445,CU00004765,2024-12-26,App,KYC,9.1,2
IN00001446,CU00001331,2025-09-10,App,KYC,14.74,5
IN00001447,CU00002783,2025-02-16,Email,Card issue,9.24,3
IN00001448,CU00001867,2025-02-24,Call Centre,Digital help,36.24,3
IN00001449,CU00001670,2024-09-16,Chat,Card issue,17.87,5
IN00001450,CU00000448,2024-11-03,Email,Service request,43.77,3
IN00001451,CU00001548,2026-03-25,Chat,Card issue,6.72,5
IN00001452,CU00000716,2025-09-26,App,Digital help,9.57,4
IN00001453,CU00004989,2024-12-06,App,Digital help,9.32,4
IN00001454,CU00002680,2025-10-25,Branch,KYC,8.21,5
IN00001455,CU00002534,2025-07-18,App,Loan enquiry,5.43,4
IN00001456,CU00002362,2024-11-16,Call Centre,Card issue,25.08,3
IN00001457,CU00004453,2026-03-16,Chat,Digital help,14.93,5
IN00001458,CU00003174,2026-07-02,App,Card issue,19.36,5
IN00001459,CU00004842,2026-08-30,Call Centre,Loan enquiry,5.5,1
IN00001460,CU00002658,2025-08-09,App,KYC,13.89,3
IN00001461,CU00004042,2025-01-19,Branch,Complaint,8.78,2
IN00001462,CU00002957,2025-08-15,Call Centre,KYC,32.37,4
IN00001463,CU00002111,2025-06-09,Call Centre,Service request,16.84,4
IN00001464,CU00002929,2026-01-25,Chat,KYC,5.53,4
IN00001465,CU00004295,2025-07-30,Call Centre,Loan enquiry,4.9,3
IN00001466,CU00004575,2025-11-13,Email,KYC,15.66,5
IN00001467,CU00004134,2026-07-18,Chat,Complaint,9.99,4
IN00001468,CU00002992,2025-03-26,App,Service request,34.26,4
IN00001469,CU00003977,2026-04-09,Branch,Loan enquiry,24.32,2
IN00001470,CU00003241,2025-12-09,Email,Digital help,22.19,5
IN00001471,CU00000968,2025-04-02,Branch,Card issue,13.09,5
IN00001472,CU00004746,2025-01-09,Call Centre,Complaint,22.68,4
IN00001473,CU00002916,2025-08-17,App,Service request,4.33,5
IN00001474,CU00000757,2026-07-15,App,Loan enquiry,11.34,2
IN00001475,CU00000327,2024-10-21,Call Centre,Digital help,29.72,3
IN00001476,CU00000280,2026-05-16,Chat,Service request,43.61,4
IN00001477,CU00000762,2025-04-30,App,KYC,13.67,5
IN00001478,CU00004771,2025-02-24,Call Centre,Loan enquiry,13.62,3
IN00001479,CU00003893,2026-06-11,Chat,Card issue,1.62,3
IN00001480,CU00003140,2024-12-09,Chat,Digital help,9.42,4
IN00001481,CU00002054,2025-03-02,Email,Complaint,7.2,5
IN00001482,CU00002801,2025-08-01,Email,Card issue,16.92,2
IN00001483,CU00003921,2025-06-26,Email,Loan enquiry,17.0,4
IN00001484,CU00000594,2026-07-13,Chat,Digital help,10.28,5
IN00001485,CU00003276,2026-04-26,Branch,Card issue,13.18,4
IN00001486,CU00000794,2024-12-06,Email,Complaint,3.13,4
IN00001487,CU00000256,2026-04-20,Branch,Complaint,7.2,5
IN00001488,CU00001854,2024-10-20,Call Centre,Digital help,31.15,5
IN00001489,CU00002443,2026-08-14,Call Centre,Service request,6.92,5
IN00001490,CU00003016,2026-04-21,Chat,Digital help,5.98,3
IN00001491,CU00004414,2026-07-16,Email,Loan enquiry,11.53,4
IN00001492,CU00003007,2025-06-12,Call Centre,Service request,6.93,5
IN00001493,CU00000872,2026-08-31,Call Centre,KYC,44.18,2
IN00001494,CU00003462,2025-05-05,Email,KYC,8.47,5
IN00001495,CU00004712,2025-01-28,Email,Digital help,39.17,3
IN00001496,CU00001760,2025-09-02,Email,Loan enquiry,13.87,5
IN00001497,CU00004015,2024-10-24,Branch,Complaint,8.71,5
IN00001498,CU00002899,2024-09-09,Chat,Card issue,8.77,4
IN00001499,CU00002135,2024-10-13,App,Card issue,21.93,4
IN00001500,CU00003988,2025-09-20,Branch,Digital help,6.57,4
IN00001501,CU00000114,2024-10-13,App,Loan enquiry,16.74,2
IN00001502,CU00001447,2024-11-25,Email,Loan enquiry,17.46,5
IN00001503,CU00003327,2024-10-05,Call Centre,KYC,12.47,4
IN00001504,CU00000689,2024-09-29,Branch,KYC,36.32,2
IN00001505,CU00000358,2025-12-23,Email,Card issue,32.38,5
IN00001506,CU00000374,2024-12-16,Branch,Service request,0.12,4
IN00001507,CU00003595,2024-12-06,Chat,Card issue,12.49,5
IN00001508,CU00004918,2025-03-21,Call Centre,Complaint,9.03,5
IN00001509,CU00002270,2025-03-17,App,Digital help,21.79,4
IN00001510,CU00000337,2025-05-09,Email,KYC,12.24,5
IN00001511,CU00002698,2026-07-31,Chat,Complaint,28.8,5
IN00001512,CU00004447,2026-06-13,Call Centre,Service request,9.3,5
IN00001513,CU00004963,2025-07-07,App,Service request,8.17,5
IN00001514,CU00003868,2025-08-18,App,KYC,15.28,3
IN00001515,CU00001460,2025-09-13,Branch,Loan enquiry,9.68,3
IN00001516,CU00003516,2025-10-21,Chat,Card issue,7.09,5
IN00001517,CU00001880,2026-01-05,Chat,Card issue,8.1,5
IN00001518,CU00003357,2026-06-05,Chat,Card issue,27.97,4
IN00001519,CU00002818,2025-01-02,Email,Complaint,19.13,4
IN00001520,CU00003453,2026-01-29,Email,Loan enquiry,7.86,4
IN00001521,CU00004924,2025-07-16,App,Card issue,17.18,5
IN00001522,CU00001627,2025-01-24,Call Centre,Digital help,38.97,1
IN00001523,CU00001698,2025-04-23,Branch,Complaint,10.9,5
IN00001524,CU00000885,2025-05-12,Chat,Loan enquiry,32.23,4
IN00001525,CU00000122,2026-08-07,Chat,Digital help,10.36,4
IN00001526,CU00000032,2025-02-18,Branch,Digital help,24.68,5
IN00001527,CU00002159,2025-05-10,Call Centre,KYC,16.64,2
IN00001528,CU00001320,2025-08-08,Branch,Digital help,46.0,4
IN00001529,CU00003844,2025-05-08,Branch,Card issue,3.67,5
IN00001530,CU00003702,2024-12-06,Call Centre,Loan enquiry,22.39,4
IN00001531,CU00003145,2025-09-05,Chat,Service request,10.24,1
IN00001532,CU00003090,2024-11-21,Chat,Service request,7.91,4
IN00001533,CU00003554,2026-01-25,Branch,KYC,6.9,4
IN00001534,CU00002759,2025-02-25,App,Complaint,19.82,3
IN00001535,CU00001505,2026-05-30,App,Digital help,10.11,5
IN00001536,CU00004350,2026-02-07,Email,Loan enquiry,2.32,5
IN00001537,CU00003320,2026-07-27,Chat,KYC,6.32,4
IN00001538,CU00002354,2025-12-25,App,Service request,12.86,4
IN00001539,CU00000769,2025-05-26,Branch,KYC,10.58,4
IN00001540,CU00004755,2025-08-28,Email,Service request,11.02,4
IN00001541,CU00002162,2025-09-09,App,KYC,15.2,4
IN00001542,CU00002139,2025-06-24,Email,Complaint,23.66,5
IN00001543,CU00004546,2025-01-21,Branch,Digital help,14.44,4
IN00001544,CU00002207,2026-04-20,App,KYC,3.64,4
IN00001545,CU00000185,2026-03-15,Email,Service request,13.42,4
IN00001546,CU00004077,2025-01-14,App,Service request,17.95,2
IN00001547,CU00001445,2026-03-21,Call Centre,Service request,23.63,3
IN00001548,CU00003214,2025-03-06,App,Digital help,3.27,4
IN00001549,CU00004221,2024-12-22,App,KYC,25.51,3
IN00001550,CU00002966,2024-09-03,Email,KYC,40.58,2
IN00001551,CU00000070,2025-12-25,Chat,Complaint,27.59,4
IN00001552,CU00000020,2026-07-03,Branch,Digital help,11.33,5
IN00001553,CU00002497,2025-10-31,Call Centre,KYC,18.35,5
IN00001554,CU00004592,2025-02-23,Call Centre,Card issue,39.02,2
IN00001555,CU00003079,2025-12-02,Email,Loan enquiry,15.81,4
IN00001556,CU00004689,2025-09-23,Chat,Service request,12.9,5
IN00001557,CU00001350,2026-01-20,Chat,Loan enquiry,8.46,4
IN00001558,CU00002582,2024-10-31,App,Service request,28.22,5
IN00001559,CU00001276,2025-05-16,Call Centre,Card issue,17.58,2
IN00001560,CU00004020,2025-06-07,Email,Service request,2.06,3
IN00001561,CU00001016,2025-05-03,Branch,Loan enquiry,24.99,2
IN00001562,CU00000133,2025-02-08,Branch,Card issue,2.75,1
IN00001563,CU00002751,2025-01-29,Branch,Digital help,4.8,4
IN00001564,CU00003814,2026-02-16,App,KYC,24.57,2
IN00001565,CU00000441,2025-01-05,Chat,Loan enquiry,38.88,5
IN00001566,CU00004424,2025-08-10,App,Digital help,12.57,5
IN00001567,CU00001369,2025-11-04,Chat,Loan enquiry,5.41,5
IN00001568,CU00003608,2025-07-14,Email,Complaint,8.39,4
IN00001569,CU00004399,2025-12-23,Email,Service request,51.45,3
IN00001570,CU00003668,2024-12-13,Email,Loan enquiry,20.79,3
IN00001571,CU00000541,2024-09-18,Branch,Complaint,13.66,3
IN00001572,CU00004745,2025-06-14,App,Card issue,11.37,3
IN00001573,CU00003393,2024-12-29,Chat,Service request,12.02,4
IN00001574,CU00003844,2026-07-28,Chat,Loan enquiry,3.51,4
IN00001575,CU00004281,2026-01-21,Email,Digital help,6.04,4
IN00001576,CU00001562,2024-12-26,Branch,Loan enquiry,1.45,4
IN00001577,CU00000093,2024-12-02,App,Complaint,23.49,2
IN00001578,CU00003232,2024-09-09,Call Centre,Complaint,3.43,4
IN00001579,CU00003172,2026-05-08,Call Centre,KYC,36.63,5
IN00001580,CU00002028,2025-11-15,Chat,Loan enquiry,21.78,4
IN00001581,CU00004429,2026-05-03,Chat,Digital help,16.66,2
IN00001582,CU00001395,2024-09-28,Chat,Digital help,19.72,3
IN00001583,CU00002159,2025-10-27,App,Service request,37.12,4
